company,fxVsCompanyCorr,fxVsBenchmarkCorr,fxWindowChange
company_1,0.419728,0.355352,-0.121872
company_4,0.220346,0.355352,-0.121872
company_3,0.220207,0.355352,-0.121872
company_2,0.124365,0.355352,-0.121872
