company,fxVsCompanyCorr,fxVsBenchmarkCorr,fxWindowChange
company_MY_CO_TM,0.224079,0.054705,0.917226
company_MY_CO_MAXIS,0.123566,0.054705,0.917226
company_MY_CO_MAYBANK,-0.003998,0.054705,0.917226
company_MY_CO_CIMB,-0.054852,0.054705,0.917226
