company,fxVsCompanyCorr,fxVsBenchmarkCorr,fxWindowChange
company_IDX_CO_BBCA,0.111,-0.199972,5.906171
company_IDX_CO_ISAT,-0.213521,-0.199972,5.906171
company_IDX_CO_TOWR,-0.432967,-0.199972,5.906171
company_IDX_CO_BMRI,-0.501856,-0.199972,5.906171
